name,country,icao,latitude,longitude,elevation,longest_runway,magnetic_variation,airport_type,beacon,fuel_types,landing_fee,oxygen,repairs
RHODES,United States,I43,38.98136111,-82.57785,726,5201,-5,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MT STERLING MUN,United States,I63,39.98538889,-90.80413889,734,5905,1,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
CLINTON,United States,I66,39.50247222,-83.86330556,1033,3579,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CINCINNATI WEST,United States,I67,39.25927778,-84.77430556,584,2808,-5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WARREN CO/LANE,United States,I68,39.46217222,-84.25184722,898,4502,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
CLERMONT CO,United States,I69,39.07838889,-84.21022222,843,3566,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
GRIMES,United States,I74,40.13237222,-83.75406389,1068,4400,-4,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",FALSE,Low Pressure Bottle,"Minor Airframe, Major Engine"
OSCEOLA MUN,United States,I75,41.05222222,-93.68913889,1115,4001,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
PERU MUN,United States,I76,40.78577222,-86.14643333,779,4400,-4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
PERRY CO,United States,I86,39.69159722,-82.19778611,1051,3498,-7,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
BRECKINRIDGE CO,United States,I93,37.78480556,-86.44127778,732,4000,-4,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
HARDIN CO,United States,I95,40.61009167,-83.64425833,1029,4797,-6,Public/civil,TRUE,"80-87 octane, JET A, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
FARINGTON,United States,K01,40.38666667,-95.788,924,3750,2,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
PISECO,United States,K09,43.45327778,-74.515,1703,3016,-14,Public/civil,FALSE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
GRAND GLAIZE-OSAGE BEACH,United States,K15,38.11044444,-92.68055556,876,3205,2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
RUSSELL CO,United States,K24,37.00969444,-85.10275,1010,5010,-4,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
SALEM MEML,United States,K33,37.61522222,-91.60444444,1241,2998,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
WASHINGTON CO VETERAN'S MEML,United States,K38,39.73516667,-97.04758333,1437,3406,6,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
SMITH-MONROE CITY,United States,K52,39.63441111,-91.72699444,737,3516,2.2,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
PETERSON MUN,United States,K57,40.44594444,-95.36730556,913,3564,3,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
EARHART,United States,K59,39.570525,-95.18033056,1073,3000,8,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
MORITZ MEML,United States,K61,39.47168333,-98.12866111,1418,4200,5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
SNYDER,United States,K62,38.70408333,-84.39183333,899,3994,-6,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
ODEGAARD,United States,K74,46.64873056,-96.99900833,947,3300,4,Public/civil,FALSE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ABILENE MUN,United States,K78,38.90405556,-97.23586111,1153,4100,7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
JETMORE MUN,United States,K79,37.98444444,-99.89433333,2467,4205,8,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
MIAMI CO,United States,K81,38.54022222,-94.92013889,943,3398,3,Public/civil,FALSE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
SMITH CENTER MUN,United States,K82,39.76261111,-98.7945,1800,4400,7,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
ALLEN CO,United States,K88,37.86822222,-95.38694444,1016,5501,4,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
MACON-FOWER MEML,United States,K89,39.72980556,-92.45672222,878,4150,2,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LOGAN CO,United States,KAAA,40.15869444,-89.33502778,594,4000,0,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
APALACHICOLA REGL-RANDOLPH,United States,KAAF,29.72755,-85.02737778,20,5425,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
COL JABARA,United States,KAAO,37.74758333,-97.22111111,1421,6101,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TAYLOR CO,United States,KAAS,37.35827778,-85.30941667,921,5003,-5,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
ALTURAS MUN,United States,KAAT,41.48286111,-120.5654167,4378,4228,16,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LEHIGH VALLEY INTL,United States,KABE,40.65236111,-75.44041667,394,7599,-12,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ABILENE REGL,United States,KABI,32.41133333,-99.68188889,1791,7208,5,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ALBUQUERQUE INTL SUNPORT,United States,KABQ,35.03893056,-106.6082611,5355,13793,11,Public/civil,TRUE,"80-87 octane, Mogas, JET, JET A, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ABERDEEN REGL,United States,KABR,45.44679722,-98.42244167,1302,6901,7,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
SOUTHWEST GEORGIA REGL,United States,KABY,31.53552778,-84.19447222,196,6601,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Airframe, Major Engine"
ANTRIM CO,United States,KACB,44.98858333,-85.19836111,623,4999,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
CARTER REGL,United States,KACJ,32.11080556,-84.18886111,468,6011,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
NANTUCKET MEML,United States,KACK,41.252975,-70.05991111,47,6303,-16,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ALLEN PARISH,United States,KACP,30.7505,-92.68849167,107,5000,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
WASECA MUN,United States,KACQ,44.07346389,-93.55294444,1127,3399,2,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WACO REGL,United States,KACT,31.61219444,-97.23030556,516,7107,7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
CALIFORNIA REDWOOD COAST - HUMBOLDT COUNTY,United States,KACV,40.97783333,-124.1084722,222,6046,17,Public/civil,FALSE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ATLANTIC CITY INTL,United States,KACY,39.45758333,-74.57716667,75,10000,-10,Public/civil,TRUE,"80-87 octane, Mogas, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
HENDERSON,United States,KACZ,34.71786111,-78.00388889,38,4153,-9,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WADENA MUN,United States,KADC,46.44994444,-95.21083333,1368,4007,4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
FLORENCE MEML,United States,KADF,34.09980556,-93.06608333,182,5002,2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
LENAWEE CO,United States,KADG,41.86627778,-84.078,798,5001,-6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ADA REGL,United States,KADH,34.80426111,-96.6712,1016,6203,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ARDMORE MUN,United States,KADM,34.30387222,-97.02059722,777,9002,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ADDISON,United States,KADS,32.96855556,-96.83644444,645,7203,5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ATWOOD-RAWLINS CO CITY-CO,United States,KADT,39.84033889,-101.0424833,2991,5000,8.8,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
AUDUBON CO,United States,KADU,41.70152778,-94.92044444,1288,3641,7,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
JOINT BASE ANDREWS,United States,KADW,38.810825,-76.86704722,280,9756,-10,Military/non-civil,TRUE,"80-87 octane, JET B, JET 4, JET 5",TRUE,"High Pressure, Low Pressure Bottle","Major Airframe, Major Engine"
DOUBLE EAGLE II,United States,KAEG,35.14515278,-106.7951639,5837,7398,11,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
CENTRAL COLORADO REGL,United States,KAEJ,38.81419444,-106.1206111,7950,8303,11,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
ALBERT LEA MUN,United States,KAEL,43.68131389,-93.36814722,1261,5000,1,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
ALEXANDRIA INTL,United States,KAEX,31.32737222,-92.54855556,89,9352,3,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
WASHINGTON CO,United States,KAFJ,40.13647222,-80.29019444,1184,5004,-8,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",FALSE,"Unspecified, Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
NEBRASKA CITY MUN,United States,KAFK,40.60652778,-95.86666667,1165,4501,5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
JAFFREY AIRPORT-SILVER RANCH,United States,KAFN,42.80513333,-72.00302222,1040,2982,-14,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,"Minor Airframe, Major Engine"
AFTON MUN,United States,KAFO,42.70877778,-110.9421667,6221,7025,14,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ANSON CO - CLOUD,United States,KAFP,35.02063889,-80.07711944,300,5498,-7,Public/civil,TRUE,"80-87 octane, JET 5",FALSE,Low Pressure Bottle,Major Engine
FT WORTH ALLIANCE,United States,KAFW,32.99038611,-97.31944167,723,11010,4,Public/civil,TRUE,"80-87 octane, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ALLEGHENY CO,United States,KAGC,40.35443889,-79.92904722,1252,6501,-9,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
WEISER,United States,KAGO,33.22747222,-93.217,319,5007,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
AUGUSTA REGL AT BUSH,United States,KAGS,33.36994444,-81.9645,146,8001,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
WAGNER MUN,United States,KAGZ,43.06416667,-98.29638333,1478,3500,4,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
AMEDEE AAF,United States,KAHC,40.26591944,-120.1506139,4012,10000,17,Military/non-civil,FALSE,JET 5,TRUE,Low Pressure Bottle,Major Engine
AMERY MUN,United States,KAHH,45.28114722,-92.37539167,1088,4000,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ATHENS/EPPS,United States,KAHN,33.94863889,-83.32591667,813,6122,-6,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WAHOO MUN,United States,KAHQ,41.24060833,-96.59455556,1224,4100,6,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ALLIANCE MUN,United States,KAIA,42.05322222,-102.8037778,3931,9203,7,Public/civil,TRUE,"80-87 octane, 115-145 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
HOPKINS FIELD,United States,KAIB,38.23875,-108.5632778,5940,4600,11,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
ANDERSON MUN-DARLINGTON,United States,KAID,40.10861111,-85.613,919,5400,-3,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LANGLADE CO,United States,KAIG,45.15395,-89.11061667,1523,4010,-2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
AIKEN REGL,United States,KAIK,33.64938889,-81.68502778,529,5500,-6,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Airframe, Major Engine"
ATLANTIC MUN,United States,KAIO,41.40383333,-95.04875,1165,5000,4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
AITKIN MUN - KURTZ,United States,KAIT,46.54846111,-93.67663333,1206,4000,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
DOWNER,United States,KAIV,33.10674444,-88.197175,150,5001,-2,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
FINE MEML,United States,KAIZ,38.09602778,-92.54947222,869,6497,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MT CARMEL MUN,United States,KAJG,38.60652778,-87.72669444,429,4500,-2,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,"Minor Airframe, Major Engine"
CORONA MUN,United States,KAJO,33.89765278,-117.6024389,533,3200,14,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
HABERSHAM CO,United States,KAJR,34.49984722,-83.55666944,1448,5506,-5,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
BLAKE,United States,KAJZ,38.78560278,-108.0620139,5193,5598,10,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Airframe, Minor Engine, Major Engine"
GASTONIA MUN,United States,KAKH,35.20265833,-81.14986667,798,3770,-6,Public/civil,TRUE,"80-87 octane, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
COLORADO PLAINS REGL,United States,KAKO,40.17563889,-103.2220278,4716,7001,10,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WAKEFIELD MUN,United States,KAKQ,36.98722222,-77.00113889,111,4337,-11,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
AKRON FULTON INTL,United States,KAKR,41.0375,-81.46691667,1068,6336,-7,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ALBANY INTL,United States,KALB,42.74911111,-73.80197222,285,8500,-13,Public/civil,TRUE,"80-87 octane, JET A, JET 5",TRUE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ALICE INTL,United States,KALI,27.74088889,-98.02694444,178,5997,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ALAMOGORDO-WHITE SANDS REGL,United States,KALM,32.83941667,-105.9911389,4200,9207,8,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,"Unspecified, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ST LOUIS REGL,United States,KALN,38.88991667,-90.04598889,544,8099,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
WATERLOO REGL,United States,KALO,42.55708333,-92.40033333,873,8399,0,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
SAN LUIS VALLEY REGL/BERGMAN,United States,KALS,37.435125,-105.867875,7539,8519,9,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
WALLA WALLA REGL,United States,KALW,46.09254167,-118.2840833,1194,6527,20,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
RUSSELL,United States,KALX,32.91475,-85.96294444,686,5422,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
HUSBAND AMARILLO INTL,United States,KAMA,35.21936111,-101.7059167,3607,13502,8,Public/civil,TRUE,"80-87 octane, JET A, Jet A+, JET 5",TRUE,"High Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
BACON CO,United States,KAMG,31.53605556,-82.50655556,200,5000,-5,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
GRATIOT COMMUNITY,United States,KAMN,43.32213889,-84.68794444,754,5004,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
SALAMON,United States,KAMT,38.851475,-83.56626111,896,3762,-4,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
AMES MUN,United States,KAMW,41.99205556,-93.62183333,956,5701,3,Public/civil,TRUE,"100 low lead (LL) octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ANNISTON REGL,United States,KANB,33.58816667,-85.85811111,612,7000,-4,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ANDERSON REGL,United States,KAND,34.49458333,-82.70938889,782,6002,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ANOKA CO-BLAINE,United States,KANE,45.14488889,-93.21019444,912,5000,2,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
SAULT STE MARIE MUN/SANDERSON,United States,KANJ,46.47922222,-84.36838889,716,5234,-7,Public/civil,FALSE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ALEXANDER,United States,KANK,38.53827778,-106.0486389,7523,7351,9,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
LEE,United States,KANP,38.94287778,-76.5684,34,2500,-10,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
TRI-STATE STEUBEN CO,United States,KANQ,41.63969722,-85.08349444,995,4540,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
AINSWORTH REGL,United States,KANW,42.57922222,-99.99297222,2589,6824,6,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,Low Pressure Bottle,Major Engine
ANTHONY MUN,United States,KANY,37.15852778,-98.07963889,1341,3598,5,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
ARCO-BUTTE CO,United States,KAOC,43.60352778,-113.33425,5335,6610,15,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,Major Engine
LIMA ALLEN CO,United States,KAOH,40.70747778,-84.02707778,975,6000,-6,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ALTOONA-BLAIR CO,United States,KAOO,40.29636111,-78.32002778,1503,5465,-10,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
AVA MARTIN MEML,United States,KAOV,36.97188611,-92.68194722,1311,3634,2,Public/civil,TRUE,"80-87 octane, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
CENTENNIAL,United States,KAPA,39.57012778,-104.8493056,5885,10000,8,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
NAPA CO,United States,KAPC,38.21363611,-122.2801528,36,5008,15,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
NAPLES MUN,United States,KAPF,26.15244167,-81.77563889,8,6600,-3,Public/civil,TRUE,"80-87 octane, JET, JET A-1, JET 5",TRUE,"Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
PHILLIPS AAF,United States,KAPG,39.46621944,-76.16880833,57,7997,-10,Military/non-civil,TRUE,JET 5,TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
ALPENA CO REGL,United States,KAPN,45.07808333,-83.56030556,690,9001,-7,Public/civil,TRUE,"80-87 octane, Mogas, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Airframe, Major Engine"
PORT OF S LOUISIANA REGL,United States,KAPS,30.08747222,-90.58283333,7,5151,-1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
MARION CO-BROWN,United States,KAPT,35.06066667,-85.58530556,641,3498,-2,Public/civil,TRUE,"80-87 octane, JET A-1, JET 5",TRUE,Low Pressure Bottle,Major Engine
APPLE VALLEY,United States,KAPV,34.57533333,-117.1861944,3062,6498,14,Public/civil,TRUE,"80-87 octane, 100 low lead (LL) octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
LLANO MUN,United States,KAQO,30.78422222,-98.65988889,1102,4202,5,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
APPLETON MUN,United States,KAQP,45.22750278,-96.00453056,1021,3500,5,Public/civil,TRUE,JET 5,TRUE,Low Pressure Bottle,Major Engine
HARRIMAN AND WEST,United States,KAQW,42.69625278,-73.17055278,654,4300,-14,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Low Pressure, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
ALLENDALE CO,United States,KAQX,32.99511111,-81.27025,162,5001,-6,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,Major Engine
ACADIANA REGL,United States,KARA,30.03775833,-91.88389722,24,8002,0,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,"High Pressure Bottle, Low Pressure Bottle","Minor Airframe, Major Engine"
ANN ARBOR MUN,United States,KARB,42.222925,-83.74565833,839,3505,-5,Public/civil,TRUE,"80-87 octane, JET, JET 5",FALSE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
WALNUT RIDGE REGL,United States,KARG,36.12466389,-90.9251,279,6001,1,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
WHARTON REGL,United States,KARM,29.25427778,-96.15438889,100,5004,3,Public/civil,TRUE,"80-87 octane, JET, JET 5",TRUE,Low Pressure Bottle,"Minor Engine, Major Airframe, Major Engine"
AURORA MUN,United States,KARR,41.77191667,-88.47566667,712,6501,-1,Public/civil,TRUE,"80-87 octane, JET, JET A, JET 5",TRUE,"Unspecified, High Pressure, Low Pressure, High Pressure Bottle, Low Pressure Bottle","Minor Engine, Major Airframe, Major Engine"
